"","x"
"1",204
"2",200
"3",188
"4",174
"5",162
"6",152
"7",144
"8",136
"9",126
"10",120
"11",118
"12",122
"13",132
"14",154
"15",172
"16",178
"17",202
"18",202
"19",198
"20",190
"21",176
"22",156
"23",142
"24",130
"25",122
"26",108
"27",94
"28",82
"29",76
"30",70
"31",66
"32",64
"33",62
"34",60
"35",58
"36",58
"37",58
"38",56
"39",56
"40",54
"41",54
"42",52
"43",52
"44",52
"45",54
"46",56
"47",60
"48",70
"49",88
"50",110
"51",114
"52",104
"53",96
"54",92
"55",90
"56",86
"57",80
"58",76
"59",72
"60",70
"61",70
"62",68
"63",66
"64",66
"65",68
"66",70
"67",70
"68",72
"69",74
"70",76
"71",80
"72",84
"73",90
"74",96
"75",104
"76",114
"77",126
"78",134
"79",140
"80",144
"81",146
"82",148
"83",152
"84",156
"85",162
"86",166
"87",172
"88",180
"89",182
"90",186
"91",194
"92",198
"93",198
"94",200
"95",204
"96",206
"97",208
"98",210
"99",212
"100",218
"101",222
"102",224
"103",224
"104",226
"105",232
"106",236
"107",242
"108",246
"109",252
"110",256
"111",262
"112",264
"113",262
"114",260
"115",238.5
"116",217
"117",195.5
"118",174
"119",168
"120",160
"121",154
"122",148
"123",146
"124",142
"125",138
"126",136
"127",132
"128",128
"129",124
"130",124
"131",122
"132",118
"133",116
"134",112
"135",108
"136",104
"137",102
"138",98
"139",94
"140",92
"141",90
"142",86
"143",84
"144",84
"145",82
"146",82
"147",80
"148",84
"149",84
"150",82
"151",78
"152",76
"153",76
"154",76
"155",76
"156",76
"157",76
"158",78
"159",78
"160",78
"161",78
"162",80
"163",80
"164",82
"165",82
"166",82
"167",84
"168",84
"169",86
"170",86
"171",88
"172",90
"173",92
"174",94
"175",96
"176",98
"177",102
"178",102
"179",104
"180",104
"181",106
"182",106
"183",106
"184",108
"185",108
"186",108
"187",104
"188",102
"189",102
"190",102
"191",104
"192",106
"193",110
"194",114
"195",120
"196",124
"197",132
"198",140
"199",148
"200",156
"201",162
"202",170
"203",176
"204",182
"205",184
"206",182
"207",178
"208",174
"209",172
"210",168
"211",166
"212",166
"213",164
"214",162
"215",162
"216",160
"217",158
"218",156
"219",156
"220",156
"221",156
"222",156
"223",156
"224",158
"225",162
"226",164
"227",164
"228",162
"229",162
"230",160
"231",160
"232",160
"233",160
"234",162
"235",162
"236",162
"237",162
"238",162
"239",164
"240",164
"241",164
"242",164
"243",166
"244",166
"245",166
"246",166
"247",166
"248",164
"249",164
"250",164
"251",162
"252",162
"253",162
"254",162
"255",160
"256",160
"257",162
"258",170
"259",168
"260",166
"261",164
"262",162
"263",160
"264",158
"265",158
"266",158
"267",158
"268",156
"269",154
"270",154
"271",154
"272",154
"273",154
"274",152
"275",152
"276",152
